7 8
3 4 

1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1
1 1 1 1 1 1 1

2 0 0    2 2 0       -2 2 0       -2 0 0     -2 -2 0       2 -2 0       2 0 0
1 0 1    1 1 1       -1 1 1       -1 0 1     -1 -1 1       1 -1 1       1 0 1
1 0 2    1 1 2       -1 1 2       -1 0 2     -1 -1 2       1 -1 2       1 0 2
3 0 3    3 3 3       -3 3 3       -3 0 3     -3 -3 3       3 -3 3       3 0 3
3 0 4    3 3 4       -3 3 4       -3 0 4     -3 -3 4       3 -3 4       3 0 4
2 0 5    2 2 5       -2 2 5       -2 0 5     -2 -2 5       2 -2 5       2 0 5
2.5 0 6  2.5 2.5 6   -2.5 2.5 6   -2.5 0 6   -2.5 -2.5 6   2.5 -2.5 6   2.5 0 6
0.1 0 6  0.1 0.1 6   -0.1 0.1 6   -0.1 0 6   -0.1 -0.1 6   0.1 -0.1 6   0.1 0 6
 

